ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_23_P130488	0.0582	0.00017673	-9.08	1.55972	-1.61e-01	ERCC2	ENST00000391944
A_19_P00321316	0.0582	0.00017867	-9.06	1.54983	-1.23e-01	XLOC_003204	
A_23_P78944	0.0582	0.00017959	9.05	1.54519	2.27e-01	AMH	ENST00000221496
A_21_P0000507	0.0582	0.00018308	9.02	1.52772	1.30e-01	SNAR-B2	
A_33_P3241696	0.0582	0.00018405	9.01	1.5229	1.17e-01	SLC45A2	ENST00000345083
A_33_P3273584	0.0582	0.0001849	-9.00	1.51872	-2.42e-01	SCARNA2	
A_23_P160336	0.0596	0.00019591	-8.90	1.46608	-1.74e-01	LEFTY1	ENST00000272134
A_32_P133395	0.0596	0.00019736	-8.89	1.45934	-1.47e-01		ENST00000442411
A_21_P0008578	0.0596	0.00019941	8.87	1.44991	1.17e-01	XLOC_011488	
A_23_P163682	0.0596	0.00021022	-8.78	1.40158	-2.06e-01	RHBDF1	ENST00000428730
A_23_P64404	0.0596	0.00021242	-8.76	1.39204	-1.35e-01	FADS3	ENST00000278829
A_32_P152195	0.0596	0.00021406	-8.75	1.38497	-1.86e-01	STAC2	ENST00000333461
A_33_P3387164	0.0596	0.00022059	-8.70	1.35737	-2.13e-01	TCP11	ENST00000469514
A_33_P3343210	0.0596	0.00022279	-8.68	1.3482	-1.22e-01	SLC25A37	
A_23_P362191	0.0596	0.00022493	8.66	1.33942	1.22e-01	LINC00324	ENST00000315707
A_24_P390928	0.0596	0.00022566	8.66	1.33643	1.18e-01	TRAPPC6A	ENST00000006275
A_24_P136641	0.0596	0.00022765	-8.64	1.32832	-1.31e-01	LOC100129250	ENST00000450093
A_33_P3489675	0.0596	0.000232	-8.61	1.31083	-4.02e-01	ARHGAP8	ENST00000412433
A_21_P0000070	0.0596	0.00023301	8.60	1.30682	1.26e-01	IL1RAP	ENST00000317757
A_23_P421175	0.0596	0.00023453	8.59	1.30081	1.76e-01	FAM83H	ENST00000388913
A_23_P127891	0.0596	0.00023852	-8.57	1.28518	-1.55e-01	BDNF	
A_33_P3330786	0.0596	0.00023903	8.56	1.28322	1.43e-01	LOC728339	
A_24_P159635	0.0596	0.00023995	8.56	1.27967	1.60e-01	LIMD2	ENST00000259006
A_32_P150876	0.0596	0.00024005	8.55	1.27928	1.12e-01	LOC339290	
A_33_P3242919	0.0596	0.00024122	8.55	1.27476	1.73e-01	HNRNPM	ENST00000325495
A_33_P3400263	0.0606	0.00024816	8.50	1.24844	9.89e-02	CHRAC1	ENST00000220913
A_24_P287075	0.0613	0.00025512	-8.45	1.22273	-1.23e-01	MAP4K2	ENST00000433890
A_33_P3279831	0.0613	0.00026182	8.41	1.1986	1.06e-01	PNRC1	ENST00000369472
A_23_P139418	0.0613	0.00026455	-8.39	1.18891	-1.54e-01	GALNTL4	ENST00000227756
A_33_P3400578	0.0613	0.00026782	-8.37	1.17744	-1.83e-01	HLF	ENST00000226067
A_21_P0000508	0.0613	0.00027214	8.35	1.1625	1.27e-01	SNAR-D	
A_23_P8754	0.0613	0.000274	-8.33	1.15615	-1.33e-01	AASS	ENST00000358954
A_23_P78438	0.0613	0.0002741	-8.33	1.15581	-9.57e-02	ELP2	
A_19_P00808285	0.0613	0.00027537	-8.33	1.15149	-9.55e-02	LOC100507194	ENST00000435043
A_23_P411612	0.0613	0.00028043	8.30	1.13444	9.58e-02	SPRYD4	ENST00000338146
A_32_P16918	0.0613	0.00028417	8.28	1.12203	1.53e-01	C21orf62	ENST00000536776
A_23_P41804	0.0613	0.00028464	-8.27	1.12047	-1.86e-01	NKD2	ENST00000296849
A_23_P500464	0.0613	0.00028494	8.27	1.11947	2.03e-01	COL2A1	ENST00000380518
A_33_P3323481	0.0614	0.00028828	-8.25	1.10853	-1.58e-01	PMF1-BGLAP	
A_33_P3844650	0.0622	0.00029504	-8.21	1.08677	-1.53e-01	ANGPTL2	ENST00000373417
A_33_P3258452	0.0648	0.00031029	8.13	1.03931	1.48e-01	C12orf5	
A_33_P3234555	0.065	0.00031786	8.09	1.01655	2.44e-01		
A_32_P131143	0.065	0.0003197	-8.08	1.01112	-1.89e-01	CECR5-AS1	ENST00000431923
A_23_P38634	0.065	0.00031989	8.08	1.01055	1.51e-01	OR1G1	ENST00000328890
A_24_P218814	0.065	0.00032527	8.06	0.99479	1.88e-01	RDH5	ENST00000548123
A_23_P133123	0.065	0.00032678	8.05	0.99039	2.14e-01	MND1	ENST00000240488
A_23_P84576	0.065	0.00034081	7.98	0.95056	1.49e-01	ANTXR1	ENST00000409349
A_33_P3274194	0.065	0.00034155	-7.98	0.94849	-1.09e-01	KCNIP4	
A_23_P3212	0.065	0.00034199	-7.98	0.94726	-1.11e-01	DTWD1	ENST00000403028
A_33_P3398965	0.065	0.0003432	-7.97	0.94392	-9.94e-02	CALML4	ENST00000478113
A_23_P254120	0.065	0.00034738	7.95	0.93242	1.40e-01	FBXO9	ENST00000480463
A_33_P3253476	0.065	0.00034797	-7.95	0.93081	-1.73e-01	NBPF10	
A_23_P102060	0.065	0.00036002	-7.90	0.89841	-9.49e-02	SSFA2	ENST00000491720
A_24_P928052	0.065	0.00036753	-7.86	0.87873	-1.18e-01	NRP1	
A_21_P0000511	0.065	0.00036945	7.86	0.87378	1.40e-01	SNAR-H	
A_24_P7584	0.065	0.00037538	7.83	0.85858	1.82e-01	LY6G5C	ENST00000460141
A_23_P363647	0.065	0.00037868	7.82	0.8502	1.11e-01	DDX26B	ENST00000493637
A_23_P1102	0.065	0.0003796	-7.81	0.8479	-2.61e-01	ACTA1	ENST00000366682
A_33_P3404531	0.065	0.000385	-7.79	0.83439	-1.18e-01	ZCWPW1	ENST00000324725
A_23_P254181	0.065	0.0003886	-7.78	0.82548	-1.81e-01	LOC79015	ENST00000415889
A_21_P0002799	0.065	0.00039276	7.76	0.81529	1.61e-01	LOC646168	ENST00000496891
A_21_P0000492	0.065	0.00039528	7.75	0.80917	1.72e-01	SNAR-F	
A_33_P3225106	0.065	0.00040243	7.72	0.79198	9.57e-02	SLITRK2	ENST00000370490
A_33_P3295538	0.065	0.00040251	7.72	0.79178	1.24e-01	AMIGO3	ENST00000480687
A_23_P94795	0.065	0.00040432	-7.72	0.78748	-1.29e-01	TEAD4	ENST00000358409
A_19_P00315627	0.065	0.00040451	7.72	0.78704	1.12e-01	XLOC_l2_015098	
A_32_P119248	0.065	0.00040583	7.71	0.78391	1.75e-01	FOXD4	
A_23_P135248	0.065	0.0004072	7.71	0.78068	1.75e-01	CCL27	ENST00000556719
A_23_P389250	0.065	0.00040784	-7.70	0.77916	-1.34e-01	C12orf70	ENST00000416383
A_33_P3415430	0.065	0.00040866	7.70	0.77723	1.46e-01	HSPA1B	ENST00000391548
A_23_P211355	0.065	0.00041569	7.67	0.76087	1.13e-01	DGCR8	ENST00000351989
A_33_P3352822	0.065	0.00041716	7.67	0.75746	1.22e-01	ZNF547	ENST00000391704
A_33_P3346444	0.065	0.00041736	7.67	0.757	1.33e-01	PCDH11Y	
A_23_P102571	0.065	0.00041875	-7.66	0.75381	-1.13e-01	SLC2A4RG	ENST00000266077
A_33_P3341105	0.065	0.00042252	-7.65	0.74519	-1.22e-01	PDE6G	ENST00000331056
A_33_P3238215	0.065	0.00042363	-7.65	0.74267	-1.41e-01	COBLL1	ENST00000493868
A_23_P250404	0.065	0.00042843	-7.63	0.73182	-1.10e-01	RAD50	ENST00000533482
A_23_P87709	0.065	0.00043562	7.60	0.7158	1.82e-01	PLBD1	ENST00000240617
A_23_P165840	0.065	0.00044065	-7.59	0.70473	-9.86e-02	ODC1	ENST00000405333
A_24_P360078	0.065	0.00044456	7.57	0.69621	9.48e-02	LRBA	ENST00000510157
A_33_P3687198	0.065	0.00044737	-7.56	0.69013	-1.49e-01	LOC283454	
A_21_P0000642	0.065	0.00045015	7.55	0.68413	2.67e-01	LOC387723	
A_33_P3383044	0.065	0.00045424	7.54	0.67541	8.79e-02		
A_33_P3288359	0.065	0.00046019	-7.52	0.66283	-9.70e-02	PSMB10	ENST00000358514
A_24_P376787	0.065	0.00046077	-7.52	0.66161	-9.64e-02	ZNF496	ENST00000366498
A_24_P260443	0.065	0.00046086	-7.52	0.66142	-1.36e-01	THBS4	ENST00000511888
A_21_P0014941	0.065	0.00046455	-7.51	0.65371	-4.02e-01	SDIM1	ENST00000545867
A_19_P00315956	0.065	0.0004677	-7.50	0.64718	-1.24e-01	OXR1	ENST00000531443
A_23_P10591	0.065	0.00046873	-7.49	0.64504	-1.01e-01	METRNL	ENST00000320095
A_23_P203891	0.065	0.00047115	-7.48	0.64006	-9.84e-02	NCOR2	ENST00000356219
A_23_P87310	0.065	0.00047601	7.47	0.63012	1.15e-01	LMO1	ENST00000335790
A_23_P120629	0.065	0.00047648	-7.47	0.62917	-2.39e-01	ASIP	ENST00000374954
A_24_P169073	0.065	0.00047953	-7.46	0.62297	-1.23e-01	FAM131C	ENST00000375662
A_33_P3407424	0.065	0.0004814	-7.45	0.61921	-1.98e-01	CDC42EP1	ENST00000249014
A_21_P0000302	0.065	0.00048677	-7.44	0.60845	-1.06e-01	SNORA8	ENST00000534079
A_23_P131899	0.065	0.00048909	-7.43	0.60384	-1.24e-01	SDCBP2	
A_23_P120694	0.065	0.00049346	-7.42	0.59521	-1.31e-01	KCNE2	ENST00000290310
A_23_P346327	0.065	0.00049476	7.41	0.59266	2.08e-01	FLJ30679	
A_23_P132341	0.065	0.00049526	7.41	0.59168	9.15e-02	C22orf46	ENST00000402966
A_33_P3311994	0.065	0.00049649	-7.41	0.58926	-1.63e-01	KIAA1239	ENST00000309447
A_23_P85969	0.065	0.00050388	7.39	0.57491	1.38e-01	ZNF326	ENST00000394583
A_23_P376870	0.065	0.0005116	7.36	0.56013	1.23e-01	C14orf79	ENST00000548641
A_23_P153155	0.065	0.00051181	7.36	0.55974	1.36e-01	GALR1	
A_23_P64232	0.065	0.00051218	-7.36	0.55902	-8.54e-02	ZNF259	ENST00000227322
A_23_P329361	0.065	0.00051419	-7.36	0.55521	-8.51e-02	COG7	ENST00000307149
A_23_P156739	0.065	0.0005172	-7.35	0.54954	-8.54e-02	C6orf125	ENST00000374231
A_33_P3276703	0.065	0.00051737	-7.35	0.54922	-1.18e-01	VGF	ENST00000445482
A_23_P113471	0.065	0.00051775	-7.34	0.5485	-1.05e-01	FAAH2	ENST00000491179
A_23_P19723	0.065	0.00051967	7.34	0.54489	1.08e-01	BMP5	ENST00000446683
A_23_P67198	0.065	0.00052122	7.34	0.542	9.96e-02	CPAMD8	ENST00000291440
A_23_P143981	0.065	0.00052441	-7.33	0.53606	-9.57e-02	FBLN2	ENST00000492059
A_24_P260639	0.065	0.00052791	-7.32	0.52957	-1.79e-01	HIST1H1D	ENST00000244534
A_33_P3287710	0.065	0.0005301	7.31	0.52553	1.09e-01	LOC100128292	
A_33_P3312807	0.065	0.00053196	7.31	0.52213	8.05e-02	IPW	ENST00000549804
A_33_P3399980	0.065	0.00053574	7.29	0.51522	1.24e-01	TYRP1	ENST00000381142
A_23_P131449	0.065	0.0005375	7.29	0.51203	1.07e-01	C2orf81	ENST00000290390
A_21_P0006619	0.065	0.00054226	7.28	0.50343	1.81e-01	XLOC_008662	
A_23_P154566	0.065	0.00054526	-7.27	0.49805	-1.04e-01	TOX2	
A_23_P318616	0.065	0.00054704	7.26	0.49485	1.16e-01	LRTM2	ENST00000543818
A_23_P103011	0.065	0.00054763	7.26	0.4938	1.18e-01	RAB36	ENST00000263116
A_33_P3263938	0.0651	0.00056005	-7.23	0.4719	-1.20e-01	LCN15	ENST00000316144
A_24_P383762	0.0651	0.00056275	-7.22	0.46719	-9.69e-02	RASGEF1C	ENST00000520209
A_33_P3363341	0.0651	0.0005663	7.21	0.46104	1.93e-01	TMEM212	ENST00000450693
A_21_P0000820	0.0651	0.00056904	7.21	0.45633	1.65e-01	LOC100506668	
A_23_P128094	0.0651	0.00057094	7.20	0.45307	1.06e-01	ABCB9	ENST00000540866
A_23_P156667	0.0651	0.00057634	7.19	0.44385	9.08e-02	PPP1R10	ENST00000376511
A_24_P649388	0.0651	0.00057652	-7.19	0.44354	-1.11e-01	C21orf63	ENST00000514073
A_24_P116669	0.0651	0.0005769	7.19	0.4429	1.01e-01	CANT1	ENST00000537282
A_21_P0006375	0.0651	0.00057738	7.19	0.44209	1.44e-01	C9orf169	ENST00000409414
A_32_P831725	0.0651	0.00058726	7.16	0.42547	1.27e-01	C3orf62	ENST00000343010
A_24_P296907	0.0651	0.0005879	-7.16	0.4244	-8.53e-02	THAP8	ENST00000522483
A_23_P42565	0.0651	0.00059455	7.14	0.41336	1.98e-01	HTR5A	ENST00000287907
A_24_P159227	0.0651	0.00059755	-7.14	0.40843	-8.29e-02	PAK6	ENST00000455577
A_33_P3282683	0.0651	0.00059878	7.13	0.40642	2.08e-01	LOC100130027	
A_23_P312863	0.0651	0.00060146	7.13	0.40203	9.34e-02	TUBB4B	ENST00000340384
A_23_P49254	0.0651	0.00060196	-7.13	0.40121	-1.14e-01	HBQ1	ENST00000199708
A_33_P3340154	0.0651	0.00060402	7.12	0.39786	8.95e-02	DGCR14	ENST00000252137
A_32_P101570	0.0651	0.00060429	-7.12	0.39742	-1.15e-01	LOC100616668	
A_23_P75978	0.0651	0.00060603	-7.12	0.3946	-1.02e-01	CLPB	ENST00000535477
A_23_P205370	0.0651	0.00061117	-7.10	0.38631	-1.58e-01	ASB2	ENST00000553883
A_23_P410507	0.0651	0.00061179	7.10	0.38531	1.02e-01	PSPN	ENST00000245810
A_23_P171258	0.0651	0.00061476	-7.10	0.38056	-8.45e-02	ABCB7	ENST00000490858
A_21_P0006620	0.0651	0.00061907	-7.09	0.37369	-1.28e-01	XLOC_008667	
A_23_P143857	0.0651	0.00062293	7.08	0.36758	1.41e-01	LRRC3B	ENST00000396641
A_23_P11800	0.0651	0.0006232	-7.08	0.36715	-1.01e-01	CAMK2N1	ENST00000375078
A_23_P91552	0.0653	0.00063049	7.06	0.35572	1.75e-01	FTCD	ENST00000397746
A_21_P0000502	0.0653	0.00063763	-7.04	0.34464	-1.40e-01	RNU11	
A_24_P157926	0.0653	0.0006382	-7.04	0.34375	-2.83e-01	TNFAIP3	ENST00000539356
A_33_P3230881	0.0653	0.0006384	7.04	0.34346	1.05e-01	ALG10	ENST00000308742
A_33_P3241937	0.0653	0.00064282	-7.03	0.33666	-1.02e-01	TBC1D16	ENST00000310924
A_21_P0014350	0.0653	0.00064354	7.03	0.33556	1.42e-01	LOC100506295	
A_23_P212339	0.0653	0.0006568	-7.00	0.31546	-1.34e-01	FYCO1	ENST00000296137
A_23_P167599	0.0653	0.00065885	-7.00	0.31239	-1.09e-01	FAM134B	ENST00000306320
A_33_P3357535	0.0653	0.00066165	6.99	0.3082	8.97e-02	CYB5B	ENST00000307892
A_23_P366453	0.0653	0.0006622	-6.99	0.30738	-1.27e-01	KHDRBS2	ENST00000281156
A_33_P3286616	0.0653	0.00066424	-6.99	0.30435	-8.84e-02	IRAK1	ENST00000369973
A_21_P0000620	0.0653	0.00066954	6.97	0.29651	2.30e-01	LOC386597	
A_24_P107941	0.0653	0.00066963	6.97	0.29638	1.11e-01	C16orf57	ENST00000219281
A_23_P316460	0.0653	0.00067224	6.97	0.29254	8.66e-02	C7orf29	ENST00000343855
A_33_P3361112	0.0653	0.00067311	6.97	0.29127	2.19e-01	ABCG8	ENST00000272286
A_23_P251132	0.0653	0.0006734	-6.97	0.29084	-1.28e-01	SNTG2	ENST00000308624
A_23_P56404	0.0653	0.00067746	6.96	0.28491	8.10e-02	EN1	ENST00000295206
A_33_P3242543	0.0653	0.00067972	6.95	0.28161	1.31e-01	MAOA	ENST00000338702
A_23_P35082	0.0656	0.00068844	6.94	0.26903	1.40e-01	SESN2	ENST00000253063
A_24_P226332	0.0656	0.00069075	6.93	0.26572	1.38e-01	EPHA7	ENST00000369303
A_33_P3409086	0.0656	0.00069175	6.93	0.26429	9.26e-02	S100A1	ENST00000368696
A_23_P124946	0.0665	0.00070404	-6.90	0.24687	-1.34e-01	CMYA5	ENST00000446378
A_33_P3231447	0.0682	0.00072532	-6.86	0.21739	-7.74e-02	ITGA6	ENST00000409532
A_23_P85783	0.0682	0.00072824	6.86	0.21341	1.09e-01	PHGDH	ENST00000369407
A_32_P181103	0.0683	0.00074203	6.83	0.19482	8.92e-02	GGCX	ENST00000233838
A_33_P3365735	0.0683	0.00074936	-6.82	0.18507	-1.86e-01	THBS2	ENST00000392099
A_23_P333498	0.0683	0.00074989	6.82	0.18436	8.63e-02	EEPD1	ENST00000242108
A_33_P3268910	0.0683	0.00075914	-6.80	0.1722	-1.14e-01	SPRY1	ENST00000505319
A_23_P251836	0.0683	0.00076137	6.80	0.16929	1.51e-01	NPY5R	ENST00000506953
A_23_P16915	0.0683	0.00076256	-6.79	0.16773	-1.02e-01	QPCT	ENST00000469098
A_33_P3217649	0.0683	0.00076508	6.79	0.16446	8.15e-02	C9orf116	ENST00000371786
A_32_P171313	0.0683	0.00076636	-6.79	0.1628	-8.57e-02	GNB4	
A_23_P122863	0.0683	0.00076672	-6.79	0.16234	-8.81e-02	GRB10	
A_23_P122443	0.0683	0.00076917	-6.78	0.15916	-1.13e-01	HIST1H1C	ENST00000343677
A_33_P3240702	0.0683	0.00077147	-6.78	0.15619	-8.31e-02	RBBP8	ENST00000360790
A_23_P157117	0.0683	0.00077995	-6.76	0.14533	-1.39e-01	CREB5	
A_23_P122508	0.0683	0.00078343	-6.76	0.1409	-2.40e-01	DPCR1	ENST00000414703
A_24_P124370	0.0683	0.00078562	-6.75	0.13812	-9.15e-02	PARVA	ENST00000550549
A_24_P41706	0.0683	0.00078895	6.75	0.13392	1.64e-01		ENST00000460066
A_21_P0000679	0.0683	0.00078909	6.75	0.13374	1.90e-01	LOC100507217	
A_24_P415624	0.0683	0.00078939	-6.75	0.13336	-9.79e-02	MLXIP	ENST00000377037
A_24_P380567	0.0683	0.00079421	6.74	0.12731	1.97e-01	CALN1	ENST00000412588
A_24_P379104	0.0683	0.00079861	6.73	0.12181	1.07e-01	PIM2	ENST00000376509
A_24_P189533	0.0683	0.00080099	-6.73	0.11885	-1.22e-01	ENDOD1	ENST00000278505
A_33_P3587376	0.0683	0.00080214	6.72	0.11742	1.08e-01	SNAR-A3	
A_23_P218476	0.0683	0.00080498	6.72	0.1139	7.88e-02	B9D2	ENST00000243578
A_33_P3630129	0.0683	0.00080762	-6.71	0.11064	-1.05e-01	FLJ46875	
A_23_P3663	0.0683	0.00080777	-6.71	0.11046	-8.36e-02	FAM195A	ENST00000491999
A_23_P100392	0.0683	0.0008128	6.71	0.10427	7.78e-02	TCEB2	ENST00000409906
A_23_P106822	0.0683	0.00081334	-6.70	0.10361	-8.22e-02	NOB1	ENST00000268802
A_33_P3214803	0.0683	0.0008137	-6.70	0.10317	-9.74e-02	PRDM13	ENST00000369215
A_24_P237586	0.069	0.00082977	-6.68	0.08368	-1.42e-01	ANKRD37	ENST00000335174
A_33_P3235776	0.069	0.00083505	-6.67	0.07736	-8.65e-02	FAM184A	ENST00000522284
A_23_P250274	0.069	0.00083673	6.67	0.07536	7.47e-02	LRRC8A	ENST00000259324
A_23_P215819	0.069	0.00083931	6.66	0.07228	7.95e-02	ZNF655	
A_33_P3272209	0.069	0.00084808	6.65	0.06191	1.22e-01	MFSD6	ENST00000392328
A_21_P0006628	0.069	0.00084909	-6.65	0.06072	-3.48e-01	XLOC_008923	ENST00000422661
A_21_P0014363	0.069	0.00085593	6.64	0.05271	1.29e-01	LOC100505577	
A_33_P3344951	0.069	0.00085908	6.63	0.04904	1.00e-01	JMJD7	ENST00000335032
A_24_P940135	0.069	0.00085997	-6.63	0.04801	-9.39e-02	CTBS	ENST00000370630
A_23_P150009	0.069	0.00086164	6.63	0.04607	7.26e-02	ZDHHC16	
A_32_P166693	0.069	0.00086165	-6.63	0.04606	-7.39e-02	HEG1	ENST00000311127
A_23_P29953	0.069	0.00086215	-6.63	0.04548	-1.17e-01	IL15	ENST00000320650
A_23_P387031	0.069	0.00086543	-6.62	0.04169	-1.75e-01	COL23A1	ENST00000390654
A_23_P417918	0.069	0.00086712	6.62	0.03974	1.61e-01	PENK	ENST00000539312
A_33_P3249837	0.0696	0.00087917	-6.60	0.02595	-8.04e-02		
A_33_P3336113	0.0696	0.00088067	6.60	0.02424	1.14e-01	TIGD3	ENST00000309880
A_33_P3314146	0.0699	0.00088779	-6.59	0.01619	-1.03e-01	MINA	ENST00000442492
A_33_P3271350	0.0703	0.00089923	6.57	0.00338	1.48e-01	IKBKAP	ENST00000374647
A_23_P143016	0.0703	0.00090083	-6.57	0.0016	-9.75e-02	ARID5A	ENST00000412735
A_33_P3268838	0.0703	0.00090547	-6.56	-0.00353	-9.84e-02	CPEB1	
A_32_P9468	0.0703	0.00091245	6.55	-0.01122	1.01e-01	COX19	
A_33_P3361417	0.0703	0.0009138	-6.55	-0.01271	-1.07e-01	C6orf57	ENST00000370474
A_24_P169048	0.0703	0.00091528	-6.54	-0.01433	-8.99e-02	RFPL3-AS1	
A_33_P3277259	0.0703	0.00091543	-6.54	-0.0145	-8.00e-02	PCYT2	
A_21_P0014306	0.0707	0.00092377	6.53	-0.02358	8.38e-02	LOC100507047	
