ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_21_P0014798	0.0166	3.10e-05	-13.1674801	3.250283	-0.14156046	LOC100128108	
A_32_P407245	0.0166	3.16e-05	13.1115209	3.23114	0.23271774	DNAJC22	ENST00000549441
A_21_P0006619	0.0166	3.20e-05	13.0835378	3.221523	0.30140571	XLOC_008662	
A_23_P363647	0.0166	3.29e-05	13.014254	3.197583	0.16957383	DDX26B	ENST00000493637
A_33_P3308332	0.0166	3.33e-05	-12.9792231	3.185409	-0.17156286	PLEKHB1	
A_19_P00808285	0.0166	3.34e-05	-12.9752475	3.184024	-0.13060022	LOC100507194	ENST00000435043
A_32_P155666	0.0166	3.54e-05	-12.8270223	3.131962	-0.20409833	ECEL1	ENST00000409941
A_21_P0002799	0.0166	3.57e-05	12.8094096	3.125718	0.25207764	LOC646168	ENST00000496891
A_23_P304897	0.0166	3.59e-05	-12.789415	3.118616	-0.31772254	BDKRB2	ENST00000554311
A_23_P140907	0.0166	3.60e-05	-12.7877142	3.118011	-0.13429121	TMEM8A	ENST00000382942
A_21_P0010545	0.0166	3.63e-05	-12.7661016	3.110314	-0.1575964	XLOC_l2_000353	ENST00000457535
A_23_P49254	0.0166	3.71e-05	-12.7125219	3.091153	-0.19109397	HBQ1	ENST00000199708
A_24_P784765	0.0166	3.71e-05	12.7121926	3.091035	0.136539	CD59	
A_33_P3271350	0.0166	3.75e-05	12.6846144	3.081127	0.20182943	IKBKAP	ENST00000374647
A_23_P116414	0.0166	3.79e-05	-12.6571968	3.071247	-0.24685927	PLA2G16	ENST00000394613
A_33_P3400843	0.0166	3.90e-05	12.584926	3.045057	0.15403714	C1QL4	ENST00000334221
A_33_P3288824	0.0166	3.97e-05	12.5443847	3.030273	0.23028507	H2AFB3	
A_23_P205900	0.0166	4.04e-05	12.5028038	3.015039	0.18611811	NTRK3	ENST00000360948
A_23_P203173	0.0166	4.06e-05	-12.4877527	3.009507	-0.18253849	IL10RA	ENST00000227752
A_23_P218784	0.0166	4.10e-05	12.4630155	3.000395	0.19553918	DDX17	ENST00000432525
A_23_P418485	0.0166	4.12e-05	-12.4542873	2.997174	-0.12562483	C11orf65	ENST00000393084
A_23_P41804	0.0166	4.20e-05	-12.4095116	2.9806	-0.19657014	NKD2	ENST00000296849
A_33_P3277259	0.0166	4.35e-05	-12.3203526	2.947346	-0.15521388	PCYT2	
A_33_P3323481	0.0166	4.56e-05	-12.2076998	2.904847	-0.14419219	PMF1-BGLAP	
A_23_P130488	0.0166	4.66e-05	-12.1556979	2.885045	-0.18328166	ERCC2	ENST00000391944
A_33_P3268838	0.0166	4.67e-05	-12.1505548	2.88308	-0.15930102	CPEB1	
A_21_P0012956	0.0166	4.71e-05	-12.130299	2.875331	-0.27082498	XLOC_l2_011793	ENST00000510311
A_33_P3355208	0.0166	4.83e-05	12.0741729	2.853764	0.16680885	CROT	ENST00000412227
A_23_P91076	0.0166	4.84e-05	12.0667575	2.850904	0.11901032	TMEM87B	ENST00000283206
A_32_P131143	0.0166	4.86e-05	-12.0574363	2.847306	-0.21927073	CECR5-AS1	ENST00000431923
A_23_P33196	0.0166	5.02e-05	11.9839335	2.818798	0.18159712	COL5A2	ENST00000452536
A_23_P157117	0.0166	5.11e-05	-11.9390414	2.801269	-0.12814807	CREB5	
A_24_P150931	0.0166	5.41e-05	11.8100634	2.750401	0.13951581	NXPH3	ENST00000328741
A_23_P79231	0.0166	5.42e-05	11.8039545	2.747973	0.12839807	CREB1	ENST00000432329
A_33_P3309665	0.0166	5.45e-05	11.7931765	2.743685	0.12308853	ZFP3	ENST00000318833
A_23_P169934	0.0166	5.49e-05	-11.7731424	2.735701	-0.1889128	RILPL1	ENST00000376874
A_24_P189533	0.0166	5.50e-05	-11.7692063	2.73413	-0.14069009	ENDOD1	ENST00000278505
A_23_P156049	0.0166	5.54e-05	-11.7538641	2.728	-0.12720474	HEXB	ENST00000504459
A_33_P3269824	0.0166	5.56e-05	11.746741	2.72515	0.3505777	LRRC66	ENST00000343457
A_33_P3221129	0.0166	5.60e-05	11.728303	2.717763	0.32725456	LRRN4CL	ENST00000317449
A_23_P167298	0.0166	5.71e-05	-11.6839865	2.699943	-0.24203579	C4orf17	ENST00000477187
A_33_P3361112	0.0166	5.73e-05	11.6777521	2.697429	0.27246214	ABCG8	ENST00000272286
A_23_P150648	0.0171	5.97e-05	11.5825172	2.658796	0.18427434	KCNQ1DN	ENST00000441418
A_23_P118042	0.0172	6.18e-05	-11.5057157	2.627329	-0.17827342	LRRC36	ENST00000290940
A_32_P196193	0.0172	6.18e-05	11.5044527	2.626809	0.12056196	PAQR9	ENST00000340634
A_23_P11984	0.0177	6.44e-05	11.4117927	2.588463	0.13985321	SLC6A9	ENST00000537678
A_33_P3263432	0.0182	6.69e-05	11.3253452	2.552312	0.32845685	ITGA10	ENST00000543043
A_21_P0011913	0.0186	6.92e-05	-11.2523616	2.521506	-0.17202192	XLOC_l2_008008	
A_33_P3235053	0.0191	7.20e-05	-11.1658641	2.484652	-0.17412757	TRIM47	ENST00000254816
A_23_P161439	0.0191	7.36e-05	-11.1150419	2.462823	-0.30620479	C10orf116	ENST00000372012
A_23_P160582	0.0191	7.52e-05	-11.0699373	2.44334	-0.12958845	HYI	ENST00000496142
A_23_P207387	0.0191	7.64e-05	-11.0350654	2.428206	-0.15060029	GHDC	
A_19_P00321316	0.0191	7.65e-05	-11.0313887	2.426607	-0.17218974	XLOC_003204	
A_21_P0001711	0.0191	7.68e-05	-11.023735	2.423275	-0.1406626	XLOC_000527	ENST00000553157
A_23_P252082	0.0191	7.73e-05	-11.0108121	2.417644	-0.13526205	TMEM176A	ENST00000484928
A_33_P3329686	0.0192	8.02e-05	-10.9296719	2.382085	-0.13371061	SEPT5	ENST00000406172
A_23_P4161	0.0192	8.07e-05	-10.9168908	2.376452	-0.16873145	ARSG	ENST00000448504
A_21_P0013087	0.0192	8.17e-05	10.8912647	2.365133	0.18151767	XLOC_l2_013031	
A_33_P3279831	0.0192	8.26e-05	10.8663143	2.35408	0.12169223	PNRC1	ENST00000369472
A_33_P3224362	0.0192	8.29e-05	-10.8585174	2.350619	-0.11472222	PCBP3	ENST00000468429
A_33_P3329769	0.0192	8.29e-05	-10.8583478	2.350544	-0.18398974	BEND6	ENST00000322055
A_19_P00332068	0.0192	8.45e-05	-10.8174927	2.332356	-0.15636121		
A_32_P37495	0.0192	8.47e-05	-10.8138492	2.33073	-0.29996576		ENST00000555001
A_33_P3630129	0.0194	8.66e-05	-10.7665513	2.309553	-0.12796377	FLJ46875	
A_23_P96369	0.0197	8.89e-05	-10.7098439	2.284006	-0.16115017	CXorf57	ENST00000372544
A_24_P142743	0.0199	9.07e-05	-10.6691095	2.265548	-0.23069399	CNN2	ENST00000442531
A_23_P37514	0.0201	9.30e-05	10.6150496	2.240912	0.17958401	C15orf39	ENST00000360639
A_23_P104705	0.0201	9.37e-05	-10.6002936	2.23416	-0.14680161	SLC29A2	ENST00000546034
A_23_P417974	0.0201	9.45e-05	-10.5814122	2.225502	-0.10817653	AQP11	ENST00000528638
A_33_P3263938	0.0205	9.72e-05	-10.5238416	2.198983	-0.19432729	LCN15	ENST00000316144
A_21_P0006620	0.0206	1.00e-04	-10.4659074	2.17211	-0.18134261	XLOC_008667	
A_23_P156739	0.0206	1.03e-04	-10.3957098	2.139295	-0.12379874	C6orf125	ENST00000374231
A_24_P349616	0.0206	1.04e-04	10.3802163	2.132015	0.14084729	UBTF	
A_24_P398810	0.0206	1.06e-04	10.3445974	2.115226	0.15076768	EIF5	ENST00000216554
A_23_P819	0.0206	1.06e-04	-10.3381193	2.112165	-0.12655848	ISG15	ENST00000379389
A_23_P4798	0.0206	1.07e-04	-10.3174047	2.10236	-0.13696887	ZNF581	ENST00000270451
A_33_P3279059	0.0206	1.08e-04	10.3163012	2.101837	0.12507089	RIPK1	ENST00000259808
A_23_P79155	0.0206	1.08e-04	10.3141396	2.100812	0.41080792	GPR39	ENST00000470071
A_23_P217009	0.0206	1.08e-04	10.3117754	2.099691	0.34728746	C9orf24	
A_33_P3288359	0.0206	1.08e-04	-10.3069306	2.097393	-0.09947889	PSMB10	ENST00000358514
A_33_P3228564	0.0206	1.09e-04	10.291501	2.090065	0.12691859	DOK3	ENST00000312943
A_23_P259632	0.0206	1.10e-04	-10.2773898	2.08335	-0.12967328	TMEM120A	ENST00000480899
A_24_P218814	0.0206	1.10e-04	10.2618782	2.075956	0.20286862	RDH5	ENST00000548123
A_33_P3280418	0.0206	1.11e-04	-10.2555756	2.072948	-0.11531201	MGC72080	
A_23_P16915	0.0207	1.12e-04	-10.2282253	2.059866	-0.11839488	QPCT	ENST00000469098
A_33_P3294372	0.0207	1.14e-04	-10.1936825	2.043282	-0.11191107	LOC100128881	
A_23_P32135	0.0207	1.14e-04	-10.1897991	2.041413	-0.1441944	C9orf9	ENST00000350499
A_23_P107775	0.0207	1.15e-04	-10.1769423	2.03522	-0.25173431	TMEM190	ENST00000291934
A_21_P0014312	0.0212	1.20e-04	-10.0937725	1.99492	-0.11598728	LOC100507303	
A_33_P3628409	0.0212	1.22e-04	10.0558283	1.976397	0.15430456	PKI55	
A_23_P89302	0.0212	1.23e-04	-10.047252	1.972199	-0.43992615	CACNG1	ENST00000226021
A_23_P2543	0.0212	1.23e-04	10.042258	1.969752	0.18621722	CUX2	ENST00000261726
A_23_P102571	0.0212	1.25e-04	-10.0187988	1.958238	-0.11909884	SLC2A4RG	ENST00000266077
A_33_P3343210	0.0212	1.25e-04	-10.0162285	1.956974	-0.13698673	SLC25A37	
A_24_P113264	0.0212	1.25e-04	-10.0101239	1.953971	-0.22852608	FBXO27	ENST00000509137
A_24_P157926	0.0212	1.27e-04	-9.9883652	1.943251	-0.31407858	TNFAIP3	ENST00000539356
A_23_P254120	0.0212	1.27e-04	9.9857741	1.941972	0.14683056	FBXO9	ENST00000480463
A_23_P78944	0.0212	1.29e-04	9.953767	1.926145	0.30340138	AMH	ENST00000221496
A_33_P3232828	0.0212	1.29e-04	9.9480869	1.92333	0.11496792	SRSF3	ENST00000339436
A_23_P51884	0.0212	1.31e-04	-9.9252515	1.911992	-0.10399958	PUSL1	ENST00000493657
A_33_P3375809	0.0212	1.31e-04	-9.9199502	1.909355	-0.17818314	LOC729970	ENST00000438509
A_24_P309095	0.0212	1.32e-04	9.9119194	1.905357	0.16772565	RELN	ENST00000424685
A_21_P0000876	0.0214	1.35e-04	-9.8592415	1.879037	-0.17991204	LOC100505894	
A_24_P322229	0.0214	1.36e-04	-9.8495708	1.874186	-0.10774668	RASL10B	ENST00000268864
A_23_P171107	0.0214	1.37e-04	-9.8368564	1.8678	-0.13131789	CCNB3	ENST00000376042
A_23_P16252	0.0214	1.38e-04	-9.8185512	1.858588	-0.16595394	KLK1	ENST00000448701
A_19_P00321348	0.0214	1.38e-04	9.8115028	1.855035	0.13196346	XLOC_005921	ENST00000454185
A_21_P0005314	0.0214	1.40e-04	-9.7855985	1.841952	-0.26985026	LOC100507468	ENST00000436600
A_23_P253464	0.0214	1.40e-04	-9.7845419	1.841418	-0.14409194	FAM175A	ENST00000475656
A_24_P287075	0.0214	1.41e-04	-9.7728878	1.835517	-0.14627573	MAP4K2	ENST00000433890
A_23_P111402	0.0214	1.42e-04	9.7679982	1.833039	0.18920297	RSPO3	ENST00000356698
A_32_P152195	0.0219	1.46e-04	-9.704472	1.800705	-0.14563698	STAC2	ENST00000333461
A_32_P219279	0.023	1.54e-04	-9.6034441	1.748754	-0.15508172	ELFN2	ENST00000402918
A_23_P170491	0.023	1.56e-04	9.5863703	1.73991	0.18945898	TRAIP	ENST00000491060
A_21_P0011633	0.023	1.57e-04	9.5754734	1.734255	0.15316001	KRT14	ENST00000417510
A_23_P66719	0.0232	1.59e-04	-9.5465997	1.719234	-0.09442658	DHRS13	ENST00000426464
A_23_P62999	0.0233	1.61e-04	9.5218452	1.706313	0.12698539	EXTL1	ENST00000374280
A_23_P300484	0.0236	1.64e-04	9.4908624	1.690085	0.12626425	OBSL1	ENST00000373873
A_23_P251132	0.0236	1.66e-04	-9.4641535	1.676044	-0.09902775	SNTG2	ENST00000308624
A_33_P3290709	0.0236	1.69e-04	-9.4324462	1.659314	-0.3258547	EGFL6	ENST00000361306
A_23_P115726	0.0236	1.71e-04	-9.4105325	1.647713	-0.10746509	SLC16A9	ENST00000395348
A_33_P3239759	0.0236	1.71e-04	9.4070768	1.645881	0.13485766	PPAN-P2RY11	ENST00000321826
A_33_P3365735	0.0236	1.73e-04	-9.3869451	1.63519	-0.23920182	THBS2	ENST00000392099
A_23_P362228	0.0236	1.73e-04	-9.3863822	1.63489	-0.13365238	C1orf213	ENST00000335648
A_21_P0014350	0.0236	1.73e-04	9.3828803	1.633028	0.13626755	LOC100506295	
A_32_P53524	0.0236	1.75e-04	9.366888	1.624511	0.21875039	NTN1	ENST00000173229
A_23_P106617	0.0236	1.75e-04	-9.3648595	1.62343	-0.19446905	WFDC1	ENST00000219454
A_33_P3408752	0.0236	1.75e-04	-9.3646961	1.623343	-0.09535332		ENST00000372591
A_32_P129862	0.0238	1.78e-04	9.3361389	1.608088	0.25161137	KCNK10	
A_23_P19723	0.0239	1.81e-04	9.3052836	1.591544	0.22674698	BMP5	ENST00000446683
A_23_P48676	0.0239	1.81e-04	-9.303853	1.590776	-0.13221178	PYGL	ENST00000216392
A_24_P296907	0.0239	1.81e-04	-9.301152	1.589324	-0.10610583	THAP8	ENST00000522483
A_24_P237586	0.024	1.83e-04	-9.277644	1.57667	-0.1565266	ANKRD37	ENST00000335174
A_21_P0008517	0.024	1.86e-04	-9.2526756	1.563188	-0.20964802	LOC100506476	
A_21_P0000891	0.024	1.87e-04	9.2392937	1.555944	0.13655446	LOC100507495	
A_33_P3243887	0.024	1.87e-04	-9.2383089	1.555411	-0.22679753	IL11	ENST00000264563
A_23_P381017	0.024	1.89e-04	-9.2242159	1.547768	-0.14134278	WBSCR27	ENST00000297873
A_33_P3249414	0.024	1.89e-04	9.2227781	1.546988	0.15783382	TRIM58	
A_33_P3356210	0.024	1.90e-04	-9.2133076	1.541843	-0.20183501	B7H6	
A_23_P42565	0.0241	1.92e-04	9.1893132	1.528782	0.27920622	HTR5A	ENST00000287907
A_24_P246091	0.0241	1.93e-04	-9.1871884	1.527623	-0.13308463	FLJ37201	
A_23_P36724	0.0242	1.95e-04	-9.1632707	1.51456	-0.19740934	FBXL14	ENST00000339235
A_23_P11800	0.0244	1.98e-04	-9.1407361	1.502216	-0.1201656	CAMK2N1	ENST00000375078
A_24_P260443	0.0244	1.99e-04	-9.1284784	1.495487	-0.12023458	THBS4	ENST00000511888
A_23_P207367	0.0245	2.02e-04	-9.105023	1.482581	-0.23671775	STAT5A	ENST00000452307
A_23_P81158	0.0245	2.03e-04	9.0932952	1.476113	0.22223452	ADH1C	ENST00000515683
A_24_P346431	0.0245	2.04e-04	9.0825841	1.470198	0.09486708	TNS3	ENST00000398879
A_23_P10374	0.0245	2.04e-04	-9.082081	1.46992	-0.0849158	R3HDM2	ENST00000358907
A_33_P3360917	0.0245	2.06e-04	9.0631908	1.459467	0.20138282	IPO9	ENST00000361565
A_21_P0000300	0.0245	2.07e-04	9.0601277	1.457769	0.1071054	SNORA48	
A_23_P9875	0.0248	2.11e-04	9.0249635	1.438236	0.16637877	TESK2	ENST00000486676
A_23_P168828	0.0248	2.13e-04	9.0032946	1.426156	0.12203266	KLF10	ENST00000285407
A_24_P194154	0.0248	2.15e-04	8.9863602	1.416691	0.11001132	UPF1	ENST00000262803
A_23_P139740	0.0248	2.15e-04	8.9844701	1.415634	0.19704939	PRMT8	ENST00000543701
A_23_P160336	0.0248	2.17e-04	-8.9753054	1.410502	-0.17583928	LEFTY1	ENST00000272134
A_24_P379104	0.0248	2.18e-04	8.9631547	1.403689	0.11937047	PIM2	ENST00000376509
A_23_P149946	0.0248	2.20e-04	-8.949512	1.396026	-0.13474782	CDHR1	ENST00000440770
A_33_P3489675	0.0248	2.21e-04	-8.9426423	1.392163	-0.4468164	ARHGAP8	ENST00000412433
A_23_P100392	0.0248	2.21e-04	8.9407274	1.391085	0.10390836	TCEB2	ENST00000409906
A_23_P137157	0.0248	2.22e-04	-8.9301768	1.385144	-0.12624701	RENBP	ENST00000442361
A_23_P3212	0.0248	2.23e-04	-8.9193589	1.379043	-0.12405039	DTWD1	ENST00000403028
A_33_P3234197	0.0248	2.25e-04	-8.9056462	1.371298	-0.09683702	TRIM45	ENST00000256649
A_33_P3340014	0.0248	2.26e-04	-8.8954574	1.365534	-0.10885744	TRO	ENST00000474933
A_23_P113701	0.0248	2.30e-04	-8.8697913	1.350981	-0.20158308	PDGFA	ENST00000402802
A_23_P163682	0.0248	2.31e-04	-8.8576569	1.344084	-0.19822291	RHBDF1	ENST00000428730
A_24_P336705	0.0248	2.32e-04	-8.855832	1.343046	-0.10317944	RABGGTB	ENST00000370824
A_23_P116264	0.0248	2.33e-04	8.84614	1.337528	0.18105406	NRGN	ENST00000284292
A_19_P00320986	0.0248	2.34e-04	8.8359767	1.331735	0.09677356	LOC100506661	ENST00000380331
A_23_P82651	0.0248	2.35e-04	-8.827162	1.326704	-0.14664848	NPTX2	ENST00000265634
A_21_P0000492	0.0248	2.36e-04	8.8219599	1.323732	0.15591108	SNAR-F	
A_23_P36985	0.0248	2.36e-04	8.8189817	1.32203	0.26814625	PCDH8	ENST00000338862
A_23_P106806	0.0248	2.37e-04	8.8135742	1.318937	0.11227417	PRSS27	ENST00000543965
A_23_P218476	0.0248	2.40e-04	8.7931731	1.307251	0.10283131	B9D2	ENST00000243578
A_23_P252556	0.0248	2.40e-04	8.792765	1.307017	0.1234222	BAI3	ENST00000546190
A_23_P38041	0.0248	2.40e-04	8.7886848	1.304676	0.10641024	NAGPA	ENST00000381955
A_23_P254863	0.0248	2.43e-04	8.7675267	1.292516	0.13056441	NIM1	ENST00000512796
A_33_P3329444	0.0248	2.45e-04	-8.7590969	1.287662	-0.11046597	MAMSTR	ENST00000356751
A_23_P17192	0.0248	2.45e-04	8.7573816	1.286674	0.10439558	RAPGEF4	ENST00000538974
A_33_P3340961	0.0248	2.45e-04	8.7548079	1.285191	0.115154	SH3GL3	
A_23_P75149	0.0248	2.45e-04	-8.7535831	1.284485	-0.10883984	SFXN4	ENST00000330036
A_24_P130363	0.0248	2.46e-04	-8.7508352	1.2829	-0.28857927	C18orf1	
A_33_P3240353	0.0248	2.46e-04	-8.7501496	1.282505	-0.09359519	SLC39A4	ENST00000276833
A_23_P31240	0.0249	2.50e-04	8.719915	1.265032	0.16926687	GAL3ST4	ENST00000426974
A_24_P701030	0.0249	2.50e-04	-8.7169248	1.2633	-0.11238062	C6orf112	ENST00000369122
A_23_P251836	0.0249	2.51e-04	8.7138189	1.2615	0.16033693	NPY5R	ENST00000506953
A_33_P3299811	0.0249	2.51e-04	-8.7136412	1.261397	-0.09899836	FLVCR1-AS1	
A_23_P19673	0.0249	2.52e-04	8.7057515	1.256823	0.17001152	SGK1	
A_33_P3258452	0.0249	2.54e-04	8.6953902	1.250808	0.1823539	C12orf5	
A_23_P304237	0.025	2.55e-04	-8.6832251	1.243736	-0.13569664	RAPGEF1	ENST00000357686
A_21_P0011070	0.0251	2.57e-04	-8.6700452	1.236061	-0.11274548	XLOC_l2_003188	
A_23_P411296	0.0253	2.61e-04	-8.6447546	1.221297	-0.12989899	CEBPB	ENST00000303004
A_23_P85783	0.0255	2.65e-04	8.6207143	1.207218	0.12281104	PHGDH	ENST00000369407
A_33_P3268910	0.0255	2.66e-04	-8.6139754	1.203263	-0.12706103	SPRY1	ENST00000505319
A_33_P3242919	0.0255	2.67e-04	8.6081126	1.19982	0.18088889	HNRNPM	ENST00000325495
A_33_P3303215	0.0256	2.69e-04	8.5946949	1.19193	0.10819369	SRSF10	
A_23_P399255	0.0257	2.72e-04	8.5735932	1.179493	0.11123351	RNF182	
A_32_P83845	0.0257	2.73e-04	8.5667754	1.175467	0.12677328	HEY1	ENST00000337919
A_23_P347432	0.0257	2.75e-04	-8.5573179	1.169877	-0.08357533	DVL1	ENST00000345100
A_23_P105873	0.0257	2.76e-04	8.5470933	1.163826	0.21169248	TRPC4	
A_21_P0000679	0.0257	2.76e-04	8.5467402	1.163617	0.21828626	LOC100507217	
A_23_P426021	0.0257	2.77e-04	8.5417642	1.160669	0.16018702	SEL1L3	ENST00000513416
A_23_P425681	0.0257	2.78e-04	8.5335805	1.155816	0.22205302	CCK	ENST00000396169
A_23_P411612	0.0257	2.79e-04	8.5306152	1.154057	0.08056357	SPRYD4	ENST00000338146
A_24_P359322	0.0257	2.81e-04	-8.5194361	1.147417	-0.14735206	C21orf49	ENST00000382378
A_23_P400147	0.0257	2.82e-04	-8.5129922	1.143585	-0.10526865	CCDC61	ENST00000263284
A_23_P102060	0.0257	2.85e-04	-8.4934954	1.131972	-0.08919381	SSFA2	ENST00000491720
A_23_P111804	0.0257	2.86e-04	-8.4891776	1.129396	-0.16000874	PARP12	ENST00000488726
A_24_P390928	0.0257	2.86e-04	8.4857996	1.12738	0.10765698	TRAPPC6A	ENST00000006275
A_33_P3270623	0.0257	2.87e-04	8.4841995	1.126425	0.14524383	FAM181B	ENST00000329203
A_23_P29422	0.0257	2.88e-04	-8.4775121	1.12243	-0.1126324	GYG1	ENST00000296048
A_21_P0014120	0.0257	2.90e-04	-8.4651111	1.115013	-0.10831038	LOC100507291	
A_23_P353667	0.0257	2.90e-04	-8.4622764	1.113315	-0.30927068	MIR7-3HG	
A_33_P3253960	0.0259	2.96e-04	-8.4298674	1.093866	-0.10330796	DHRS11	ENST00000394445
A_23_P140375	0.0259	2.96e-04	8.4260791	1.091587	0.20548035	NGB	ENST00000298352
A_33_P3271111	0.0259	2.97e-04	-8.4248421	1.090843	-0.0929418	NINJ1	ENST00000489274
A_24_P383581	0.0259	2.97e-04	-8.4211846	1.088641	-0.09427871	C19orf70	ENST00000309324
A_32_P16918	0.0259	2.98e-04	8.4162976	1.085698	0.24996429	C21orf62	ENST00000536776
A_23_P111361	0.0259	3.00e-04	-8.4053225	1.079081	-0.19041442	PPIL6	ENST00000521072
A_23_P215787	0.0259	3.03e-04	8.3919043	1.070978	0.11124243	HBP1	ENST00000468410
A_23_P108751	0.0259	3.03e-04	-8.391743	1.070881	-0.12838137	FHL2	
A_33_P3273599	0.0259	3.03e-04	-8.3879364	1.068579	-0.17278227	INTU	ENST00000296461
A_33_P3275968	0.0259	3.06e-04	8.374772	1.060612	0.1414023	SEL1L	ENST00000336735
A_23_P29303	0.0259	3.07e-04	-8.367747	1.056354	-0.0858072	RRP7A	ENST00000483303
A_33_P3280927	0.0259	3.07e-04	-8.3672479	1.056051	-0.11014902	SNHG7	
A_23_P48717	0.026	3.11e-04	-8.3475627	1.044099	-0.11441945	NPC2	ENST00000554482
A_23_P200252	0.026	3.11e-04	-8.3439182	1.041883	-0.08120719	NTPCR	ENST00000479125
A_23_P144959	0.026	3.12e-04	8.3398696	1.03942	0.09008756	VCAN	
A_23_P346900	0.026	3.12e-04	8.3388188	1.038781	0.0894763	CACNA2D2	ENST00000424201
A_24_P269062	0.026	3.16e-04	-8.3202772	1.027481	-0.14140634	SPRY4	ENST00000344120
A_24_P50458	0.026	3.16e-04	8.3195608	1.027044	0.09055107	TERF1	ENST00000538958
A_33_P3242863	0.026	3.19e-04	-8.3002432	1.015242	-0.07742216	NT5M	ENST00000389022
A_33_P3388331	0.026	3.20e-04	-8.2964491	1.01292	-0.08908605	FARP1	ENST00000376584
A_23_P109322	0.026	3.20e-04	-8.2958285	1.01254	-0.08903921	PCP4	ENST00000468717
A_23_P132027	0.026	3.22e-04	-8.2849429	1.005872	-0.09956972	SPAG4	ENST00000498203
A_23_P87310	0.026	3.23e-04	8.2814834	1.003751	0.17712902	LMO1	ENST00000335790
A_23_P61406	0.026	3.23e-04	-8.2790882	1.002282	-0.19103741	SHC3	ENST00000375835
A_23_P311087	0.026	3.24e-04	8.274053	0.999192	0.08299554	ZNF281	ENST00000537759
A_33_P3401673	0.026	3.25e-04	-8.2699315	0.996661	-0.10109773	GIT1	ENST00000335356
A_33_P3220202	0.026	3.28e-04	-8.2578198	0.989216	-0.11368917	PKN3	ENST00000291906
A_23_P164089	0.026	3.28e-04	-8.2554634	0.987766	-0.1093481	RFFL	ENST00000394597
